,4. close
0,83.94
1,84.75
2,84.74
3,85.73
4,85.55
5,85.94
6,85.38
7,86.25
8,86.7
9,85.7
10,86.79
11,88.5
12,89.07
13,94.95
14,97.1
15,94.62
16,95.8
17,97.0
18,92.57
19,85.47
20,85.05
21,85.66
22,83.8
23,84.84
24,80.87
25,81.52
26,81.51
27,82.2
28,82.9
29,84.76
30,86.31
31,85.47
32,87.72
33,88.55
34,89.05
35,86.14
36,88.75
37,88.26
38,87.04
39,89.83
40,91.27
41,91.12
42,91.32
43,91.66
44,91.8
45,91.81
46,89.54
47,91.63
48,90.31
49,88.6
50,86.47
51,85.85
52,85.61
53,84.05
54,85.0
55,84.35
56,83.12
57,83.34
58,82.45
59,80.51
60,79.71
61,78.29
62,78.98
63,79.16
64,81.08
65,80.42
66,80.41
67,82.19
68,81.68
69,81.05
70,81.46
71,79.95
72,78.99
73,74.53
74,74.29
75,75.4
76,75.02
77,75.26
78,73.23
79,73.81
80,74.63
81,74.22
82,74.83
83,75.38
84,74.07
85,74.86
86,76.98
87,77.01
88,76.41
89,77.61
90,75.75
91,73.0
92,74.65
93,75.26
94,73.77
95,73.89
96,74.1
97,74.17
98,74.2
99,72.63
100,72.5
101,72.52
102,72.8
103,70.03
104,71.48
105,68.38
106,67.85
107,66.96
108,66.48
109,66.98
110,68.75
111,67.81
112,67.31
113,67.62
114,66.56
115,67.91
116,67.59
117,67.98
118,66.45
119,63.94
120,63.65
121,64.07
122,63.59
123,64.78
124,67.21
125,68.3
126,69.59
127,68.16
128,67.18
129,67.96
130,65.59
131,63.4
132,63.87
133,61.928
134,61.42
135,60.72
136,60.5
137,54.1
138,52.9
139,52.37
140,50.67
141,52.25
142,52.96
143,55.65
144,55.0
145,55.4
146,55.77
147,57.0015
148,57.95
149,57.27
150,58.97
151,56.02
152,57.43
153,58.99
154,58.83
155,59.58
156,57.86
157,57.47
158,57.2
159,57.56
160,59.38
161,57.61
162,58.33
163,57.0
164,59.52
165,60.76
166,58.565
167,59.723
168,60.0
169,61.66
170,62.17
171,59.77
172,61.22
173,63.549
174,64.33
175,63.34
176,63.15
177,63.38
178,64.51
179,63.18
180,65.26
181,64.98
182,67.79
183,67.7
184,68.15
185,70.6
186,71.03
187,71.89
188,71.89
189,71.13
190,71.14
191,71.62
192,69.6
193,70.39
194,69.36
195,68.15
196,66.17
197,65.75
198,67.04
199,67.63
200,65.65
201,66.22
202,64.811
203,66.469
204,66.71
205,67.99
206,68.67
207,69.79
208,71.24
209,67.21
210,61.17
211,62.65
212,62.72
213,62.75
214,62.33
215,58.71
216,59.51
217,59.96
218,60.16
219,61.67
220,61.81
221,63.99
222,64.66
223,64.31
224,66.23
225,67.32
226,65.68
227,63.19
228,63.93
229,65.66
230,66.31
231,65.48
232,67.72
233,69.61
234,69.1
235,68.49
236,70.99
237,71.46
238,71.75
239,71.32
240,69.08
241,70.29
242,70.57
243,69.22
244,67.645
245,64.71
246,67.31
247,64.95
248,68.81
249,67.6
250,67.3
251,71.847
252,72.1
253,75.42
254,75.51
255,75.0
256,72.03
257,72.33
258,74.2
259,76.04
260,77.67
261,76.089
262,79.035
263,82.4901
264,84.7101
265,85.5899
266,84.291
267,83.9
268,80.86
269,76.05
270,76.3
271,74.38
272,74.97
273,74.75
274,71.89
275,71.45
276,73.57
277,74.23
278,73.35
279,74.02
280,73.5
281,72.11
282,71.38
283,71.11
284,72.18
285,72.01
286,74.98
287,74.91
288,74.3305
289,74.08
290,73.95
291,74.05
292,71.82
293,72.63
294,71.6001
295,67.82
296,68.1
297,69.66
298,69.34
299,67.11
300,66.52
301,64.96
302,64.56
303,64.52
304,64.95
305,62.28
306,61.45
307,61.54
308,61.18
309,60.11
310,59.9
311,60.23
312,61.15
313,61.8499
314,59.95
315,57.5
316,57.59
317,54.47
318,55.41
319,57.03
320,56.1
321,56.79
322,55.66
323,56.14
324,54.94
325,52.21
326,53.44
327,54.0
328,53.74
329,49.25
330,51.59
331,50.37
332,51.3
333,51.7
334,52.7801
335,53.75
336,54.44
337,53.61
338,52.34
339,51.08
340,53.44
341,53.84
342,53.2
343,51.9
344,52.11
345,53.19
346,52.64
347,51.21
348,49.87
349,49.61
350,50.82
351,51.4
352,51.31
353,49.78
354,48.68
355,48.8
356,46.22
357,46.26
358,46.89
359,46.57
360,45.84
361,45.74
362,46.06
363,45.77
364,45.74
365,45.87
366,45.83
367,46.3
368,47.15
369,46.25
370,47.68
371,46.1
372,44.0
373,43.38
374,43.82
375,42.65
376,42.99
377,42.71
378,43.22
379,43.19
380,42.75
381,42.65
382,43.8
383,43.99
384,43.63
385,43.81
386,44.0
387,43.29
388,43.63
389,43.19
390,41.49
391,41.55
392,40.75
393,38.35
394,38.24
395,38.1
396,38.25
397,37.63
398,37.39
399,37.98
400,36.5
401,36.81
402,36.37
403,37.31
404,37.1
405,37.76
406,38.89
407,38.55
408,37.86
409,37.61
410,38.31
411,37.98
412,37.13
413,36.0
414,35.9
415,35.81
416,37.65
417,36.92
418,36.54
419,37.92
420,38.24
421,40.04
422,40.3
423,39.7593
424,40.56
425,40.74
426,39.78
427,39.7
428,39.76
429,37.55
430,37.55
431,35.84
432,35.36
433,35.55
434,34.77
435,34.13
436,35.61
437,36.42
438,36.97
439,37.24
440,36.68
441,37.15
442,36.21
443,36.43
444,36.06
445,35.54
446,35.95
447,36.19
448,36.98
449,35.5
450,37.14
451,35.51
452,37.09
453,35.62
454,35.35
455,37.26
456,41.04
457,42.66
458,41.92
459,43.74
460,43.56
461,42.33
462,41.89
463,41.09
464,40.89
465,41.67
466,42.8
467,41.75
468,42.53
469,42.5
470,42.55
471,42.83
472,43.7
473,42.96
474,42.25
475,41.18
476,40.96
477,40.32
478,40.27
479,39.83
480,39.35
481,40.53
482,42.75
483,42.81
484,41.79
485,44.121
486,44.5
487,44.86
488,88.99
489,88.93
490,88.23
491,85.29
492,86.81
493,87.81
494,90.13
495,88.41
496,84.63
497,81.21
498,78.36
499,78.74
500,80.9
501,78.94
502,78.84
503,77.81
504,79.63
505,77.53
506,76.9
507,73.98
508,72.64
509,72.25
510,72.05
511,70.76
512,70.49
513,70.46
514,69.88
515,70.65
516,70.2
517,69.8
518,65.46
519,64.56
520,68.96
521,69.25
522,64.55
523,64.5
524,63.94
525,63.29
526,64.4
527,64.8
528,64.44
529,64.18
530,63.16
531,64.01
532,63.75
533,63.69
534,62.72
535,64.99
536,66.596
537,65.26
538,65.29
539,64.91
540,65.15
541,63.99
542,63.28
543,62.89
544,65.78
545,62.68
546,65.21
547,67.79
548,67.05
549,68.44
550,64.55
551,64.05
552,61.27
553,61.35
554,55.17
555,55.39
556,54.9
557,54.935
558,55.24
559,55.5
560,55.3
561,54.75
562,54.05
563,54.38
564,54.72
565,54.45
566,55.31
567,53.5
568,52.45
569,52.4
570,52.19
571,50.3
572,47.97
573,47.55
574,47.41
575,47.94
576,47.47
577,47.42
578,47.75
579,45.5
580,44.98
581,39.75
582,38.29
583,38.59
584,39.06
585,39.62
586,40.64
587,39.37
588,38.79
589,38.67
590,38.75
591,38.68
592,38.04
593,37.53
594,37.29
595,37.27
596,36.92
597,38.01
598,37.71
599,37.14
600,36.35
601,35.2
602,35.49
603,35.59
604,35.87
605,35.7
606,36.35
607,35.76
608,35.23
609,35.66
610,35.86
611,34.49
612,34.12
613,34.35
614,34.66
615,33.05
616,31.95
617,31.08
618,30.8
619,30.71
620,31.74
621,30.87
622,30.78
623,30.84
624,30.37
625,31.01
626,31.52
627,30.3
628,29.78
629,31.39
630,31.79
631,31.29
632,31.58
633,32.34
634,32.64
635,32.27
636,32.43
637,31.26
638,30.7
639,31.68
640,31.62
641,32.2
642,31.97
643,32.2
644,32.93
645,29.58
646,29.22
647,29.14
648,30.03
649,30.14
650,30.39
651,30.95
652,31.08
653,32.3
654,32.54
655,32.5
656,32.49
657,33.7
658,33.18
659,33.7
660,33.0
661,32.33
662,32.91
663,32.81
664,32.74
665,30.69
666,30.12
667,30.74
668,30.2
669,30.35
670,29.81
671,28.78
672,28.4
673,28.92
674,28.06
675,28.06
676,28.17
677,28.51
678,28.41
679,27.34
680,27.11
681,26.71
682,26.47
683,27.06
684,26.64
685,27.06
686,27.19
687,27.3
688,27.14
689,26.28
690,26.67
691,26.58
692,26.65
693,26.14
694,26.07
695,25.78
696,26.77
697,26.45
698,26.94
699,27.13
700,27.7
701,27.78
702,27.73
703,27.73
704,28.35
705,29.18
706,29.3
707,26.64
708,26.93
709,28.04
710,27.53
711,27.31
712,27.83
713,28.32
714,27.5
715,27.11
716,27.04
717,27.92
718,27.91
719,27.04
720,26.87
721,25.5
722,25.29
723,25.86
724,25.86
725,25.67
726,26.19
727,25.82
728,26.45
729,27.56
730,27.15
731,27.68
732,27.1
733,26.0
734,26.74
735,25.16
736,23.92
737,23.81
738,24.02
739,23.92
740,23.04
741,22.81
742,22.36
743,22.19
744,22.4
745,22.47
746,23.26
747,23.16
748,23.0
749,23.73
750,23.8
751,22.98
752,22.667
753,22.71
754,22.42
755,21.79
756,22.26
757,22.32
758,22.56
759,22.68
760,22.52
761,23.07
762,23.01
763,22.56
764,22.18
765,22.61
766,22.73
767,22.72
768,22.85
769,24.2
770,24.12
771,23.73
772,23.0
773,23.36
774,22.59
775,22.09
776,22.17
777,21.28
778,21.37
779,21.28
780,21.15
781,20.78
782,20.41
783,19.81
784,19.85
785,19.7
786,20.04
787,19.88
788,20.12
789,20.17
790,20.89
791,21.21
792,20.38
793,20.45
794,21.05
795,20.85
796,21.15
797,21.03
798,21.54
799,21.71
800,20.91
801,20.72
802,20.68
803,21.15
804,20.28
805,20.375
806,20.4199
807,20.41
808,21.13
809,21.46
810,22.42
811,22.33
812,21.54
813,21.9
814,22.5
815,23.12
816,23.03
817,22.91
818,23.15
819,22.89
820,23.09
821,23.69
822,23.72
823,22.6
824,22.6
825,22.99
826,22.76
827,23.18
828,23.22
829,22.75
830,23.25
831,24.82
832,24.55
833,24.35
834,23.68
835,23.45
836,23.06
837,23.22
838,22.29
839,21.69
840,20.57
841,20.79
842,20.72
843,21.3
844,20.69
845,20.43
846,21.32
847,22.43
848,22.08
849,22.58
850,22.88
851,22.12
852,22.36
853,22.21
854,23.1
855,22.56
856,22.18
857,22.37
858,22.74
859,22.5
860,22.83
861,22.95
862,22.85
863,22.61
864,22.19
865,21.48
866,21.05
867,20.86
868,20.88
869,21.68
870,21.01
871,20.32
872,20.34
873,19.71
874,19.97
875,20.18
876,19.7
877,19.66
878,19.64
879,19.93
880,19.63
881,20.38
882,21.21
883,20.73
884,21.08
885,20.28
886,20.72
887,20.99
888,21.54
889,20.51
890,20.79
891,20.8
