date,1. open,2. high,3. low,4. close,5. volume
2024-05-10,477.09,477.5,469.6,476.2,10749999.0
2024-05-09,470.0,476.08,467.63,475.42,9437651.0
2024-05-08,463.5,475.58,463.002,472.6,11683929.0
2024-05-07,466.29,471.53,461.31,468.24,13406816.0
2024-05-06,455.58,466.16,453.34,465.68,15094627.0
2024-05-03,445.93,454.17,443.85,451.96,16489057.0
2024-05-02,438.84,443.96,432.28,441.68,15221322.0
2024-05-01,428.6,449.96,427.11,439.19,20344947.0
2024-04-30,431.05,439.6199,429.72,430.17,18429496.0
2024-04-29,439.56,439.76,428.56,432.62,21502646.0
2024-04-26,441.46,446.44,431.96,443.29,32691443.0
2024-04-25,421.4,445.77,414.5,441.38,82890741.0
2024-04-24,508.06,510.0,484.58,493.5,37772677.0
2024-04-23,491.25,498.76,488.97,496.1,15079196.0
2024-04-22,489.715,492.01,473.4,481.73,17271125.0
2024-04-19,502.8,502.8,475.73,481.07,25215364.0
2024-04-18,499.82,512.21,499.04,501.8,14808670.0
2024-04-17,503.1,503.16,487.14,494.17,12193743.0
2024-04-16,498.11,504.7699,497.11,499.76,9847925.0
2024-04-15,516.72,518.53,497.28,500.23,13512893.0
2024-04-12,517.75,520.1899,509.33,511.9,11984535.0
2024-04-11,521.11,523.86,517.29,523.16,10369469.0
2024-04-10,509.29,522.5599,505.8,519.83,11418491.0
2024-04-09,522.23,525.87,506.74,516.9,10644177.0
2024-04-08,529.28,531.4899,518.89,519.25,13126009.0
2024-04-05,516.855,530.7,514.4099,527.34,19178665.0
2024-04-04,516.42,530.0,510.58,510.92,26207031.0
2024-04-03,498.93,507.24,498.75,506.74,12001199.0
2024-04-02,485.1,497.53,484.65,497.37,10989041.0
2024-04-01,487.2,497.43,481.78,491.35,9013459.0
2024-03-28,492.84,492.89,485.15,485.58,15212764.0
2024-03-27,499.3,499.89,488.07,493.86,9989676.0
2024-03-26,505.13,510.0,495.2137,495.89,11205382.0
2024-03-25,505.79,507.22,500.2411,503.02,8380617.0
2024-03-22,507.0,509.97,504.34,509.58,8120593.0
2024-03-21,514.71,515.04,506.01,507.76,9712549.0
2024-03-20,499.5,508.1999,495.17,505.52,11711100.0
2024-03-19,488.17,496.6296,481.28,496.24,10903092.0
2024-03-18,491.91,497.42,486.81,496.98,11755251.0
2024-03-15,489.01,491.83,481.3001,484.1,29153576.0
2024-03-14,500.255,501.35,488.16,491.83,12571134.0
2024-03-13,495.39,500.98,491.0318,495.57,11937907.0
2024-03-12,493.26,502.31,484.73,499.75,15362157.0
2024-03-11,497.01,497.32,476.0,483.59,19982445.0
2024-03-08,514.19,523.57,499.35,505.95,18597059.0
2024-03-07,503.28,519.85,501.38,512.19,18586437.0
2024-03-06,497.63,502.97,494.292,496.09,11757925.0
2024-03-05,495.0,495.58,487.89,490.22,15325299.0
2024-03-04,503.0,504.42,496.42,498.19,12324141.0
2024-03-01,492.11,504.25,491.85,502.3,15884882.0
2024-02-29,488.44,491.7,482.61,490.13,17732045.0
2024-02-28,485.0,491.05,482.75,484.02,12715486.0
2024-02-27,479.975,487.27,479.92,487.05,10809595.0
2024-02-26,483.47,486.14,480.6,481.74,12101415.0
2024-02-23,488.05,494.3599,482.3482,484.03,18374286.0
2024-02-22,480.24,489.99,476.0618,486.13,21625805.0
2024-02-21,466.5,469.0,461.79,468.03,12977050.0
2024-02-20,469.715,476.18,466.56,471.75,18015523.0
2024-02-16,478.11,478.96,469.21,473.32,23324620.0
2024-02-15,475.28,488.62,472.22,484.03,24212326.0
2024-02-14,467.93,474.11,466.0901,473.28,16858401.0
2024-02-13,456.87,467.89,455.09,460.12,20916602.0
2024-02-12,468.19,479.145,466.58,468.9,19381963.0
2024-02-09,472.95,473.59,467.465,468.11,18413137.0
2024-02-08,468.32,470.59,465.03,470.0,18815097.0
2024-02-07,458.0,471.52,456.1773,469.59,23065994.0
2024-02-06,464.0,467.12,453.0,454.72,21655214.0
2024-02-05,469.88,471.9,459.22,459.41,40832376.0
2024-02-02,459.6,485.96,453.01,474.99,84707646.0
2024-02-01,393.94,400.5,393.05,394.78,29727051.0
2024-01-31,389.0,398.0,387.1,390.14,20180817.0
2024-01-30,403.59,406.36,399.57,400.06,18614727.0
2024-01-29,394.985,402.93,393.1,401.02,18742433.0
2024-01-26,394.35,396.79,391.5908,394.14,13159290.0
2024-01-25,390.17,395.49,385.66,393.18,15091080.0
2024-01-24,390.0,396.15,387.81,390.7,15698460.0
2024-01-23,384.615,388.38,382.075,385.2,15506096.0
2024-01-22,387.95,390.3525,381.1601,381.78,17680454.0
2024-01-19,379.0,384.36,377.97,383.45,21670806.0
2024-01-18,371.49,376.85,370.95,376.13,16354332.0
2024-01-17,366.3,368.54,358.61,368.37,12724779.0
2024-01-16,373.65,375.61,367.23,367.46,15306885.0
2024-01-12,370.155,377.06,369.54,374.49,19310046.0
2024-01-11,372.13,372.78,362.93,369.67,17205385.0
2024-01-10,360.17,372.94,359.08,370.47,22117206.0
2024-01-09,356.4,360.64,355.36,357.43,13463871.0
2024-01-08,354.7,358.98,352.05,358.66,13890222.0
2024-01-05,346.99,353.5,346.2601,351.95,13919573.0
2024-01-04,344.5,348.1499,343.3987,347.12,12099895.0
2024-01-03,344.98,347.95,343.175,344.47,15451133.0
2024-01-02,351.32,353.16,340.01,346.29,19042152.0
2023-12-29,358.99,360.0,351.82,353.96,14987092.0
2023-12-28,359.7,361.9,357.81,358.32,11798807.0
2023-12-27,356.07,359.0,355.31,357.83,12708318.0
2023-12-26,354.99,356.98,353.45,354.83,9898614.0
2023-12-22,355.58,357.1999,351.22,353.39,11772779.0
2023-12-21,352.98,356.405,349.21,354.09,15289556.0
2023-12-20,348.65,354.96,347.79,349.28,16369850.0
2023-12-19,345.58,353.6,345.12,350.36,17661395.0
2023-12-18,337.48,347.56,337.02,344.62,18993852.0
2023-12-15,331.99,338.66,331.22,334.92,31776852.0
2023-12-14,333.85,334.7,328.6371,333.17,19607335.0
2023-12-13,333.93,338.37,332.64,334.74,16353321.0
2023-12-12,324.6,334.47,324.56,334.22,18485461.0
2023-12-11,329.4,329.89,319.995,325.28,25802462.0
2023-12-08,323.09,333.17,323.0,332.75,14087351.0
2023-12-07,317.77,328.24,317.77,326.59,15905079.0
2023-12-06,321.93,322.25,317.04,317.45,11264491.0
2023-12-05,318.98,321.88,315.39,318.29,16952128.0
2023-12-04,317.29,320.86,313.66,320.02,19037080.0
2023-12-01,325.48,326.86,320.76,324.82,15276375.0
2023-11-30,331.89,333.5,322.4037,327.15,23146387.0
2023-11-29,339.69,339.9,330.78,332.2,16024497.0
2023-11-28,333.4,339.375,333.4,338.99,12637245.0
2023-11-27,336.18,339.9,334.2,334.7,15684454.0
2023-11-24,340.13,341.8556,336.77,338.23,5467488.0
2023-11-22,339.21,342.92,338.58,341.49,10715177.0
2023-11-21,338.33,339.9015,335.9,336.98,12027863.0
2023-11-20,334.89,341.87,334.19,339.97,16976129.0
2023-11-17,330.26,335.5,329.35,335.04,14519213.0
2023-11-16,329.37,334.58,326.38,334.19,18932572.0
2023-11-15,337.93,338.4,330.02,332.71,14531180.0
2023-11-14,334.54,338.1,333.33,336.31,17179403.0
2023-11-13,326.2,332.33,325.7,329.19,16908948.0
2023-11-10,319.94,329.1,319.46,328.77,19116921.0
2023-11-09,319.418,324.1799,318.8,320.55,16103071.0
2023-11-08,318.14,321.33,314.88,319.78,13609704.0
2023-11-07,317.06,321.0,315.12,318.82,14055614.0
2023-11-06,315.98,318.33,314.45,315.8,12887699.0
2023-11-03,312.55,315.55,311.0167,314.6,16764315.0
2023-11-02,317.3,318.82,308.33,310.87,21631820.0
