,Unnamed: 0,date,1. open,2. high,3. low,4. close,5. volume
4300,4300,2007-02-05,84.3,85.23,83.94,83.94,20673300.0
4301,4301,2007-02-02,84.12,85.25,83.7,84.75,22197500.0
4302,4302,2007-02-01,86.23,86.27,84.74,84.74,23726500.0
4303,4303,2007-01-31,84.86,86.0,84.35,85.73,30573900.0
4304,4304,2007-01-30,86.43,86.49,85.25,85.55,20641800.0
4305,4305,2007-01-29,86.3,86.65,85.53,85.94,32202300.0
4306,4306,2007-01-26,87.115,87.37,84.99,85.38,35245500.0
4307,4307,2007-01-25,87.111,88.5,86.03,86.25,32356200.0
4308,4308,2007-01-24,86.68,87.15,86.08,86.7,33136200.0
4309,4309,2007-01-23,85.73,87.51,85.51,85.7,43122300.0
4310,4310,2007-01-22,89.14,89.16,85.65,86.79,51929500.0
4311,4311,2007-01-19,88.63,89.65,88.12,88.5,48731200.0
4312,4312,2007-01-18,92.1,92.11,89.05,89.07,84450200.0
4313,4313,2007-01-17,97.56,97.6,94.82,94.95,58795000.0
4314,4314,2007-01-16,95.68,97.25,95.45,97.1,44431300.0
4315,4315,2007-01-12,94.59,95.06,93.23,94.62,46881800.0
4316,4316,2007-01-11,95.94,96.78,95.1,95.8,51437600.0
4317,4317,2007-01-10,94.75,97.8,93.45,97.0,105460000.0
4318,4318,2007-01-09,86.45,92.98,85.15,92.57,119617800.0
4319,4319,2007-01-08,85.96,86.53,85.28,85.47,28468100.0
4320,4320,2007-01-05,85.77,86.2,84.4,85.05,29812200.0
4321,4321,2007-01-04,84.05,85.95,83.82,85.66,30259300.0
4322,4322,2007-01-03,86.29,86.58,81.9,83.8,44225700.0
4323,4323,2006-12-29,83.95,85.4,83.36,84.84,38443900.0
4324,4324,2006-12-28,80.22,81.25,79.65,80.87,39995600.0
4325,4325,2006-12-27,78.15,82.0,76.77,81.52,69134100.0
4326,4326,2006-12-26,82.15,82.57,80.89,81.51,17524600.0
4327,4327,2006-12-22,83.46,84.0391,81.6,82.2,21903700.0
4328,4328,2006-12-21,84.6956,85.48,82.2,82.9,32271400.0
4329,4329,2006-12-20,86.47,86.67,84.74,84.76,20274700.0
4330,4330,2006-12-19,84.73,86.68,83.62,86.31,32550200.0
4331,4331,2006-12-18,87.625,88.0,84.59,85.47,25770600.0
4332,4332,2006-12-15,89.02,89.22,87.33,87.72,26426400.0
4333,4333,2006-12-14,89.05,90.0,88.26,88.55,29726100.0
4334,4334,2006-12-13,87.95,89.07,87.15,89.05,30609000.0
4335,4335,2006-12-12,88.61,88.84,85.53,86.14,36665000.0
4336,4336,2006-12-11,88.9,89.3,88.05,88.75,17849300.0
4337,4337,2006-12-08,87.23,89.39,87.0,88.26,28009900.0
4338,4338,2006-12-07,90.025,90.5,86.9,87.04,35886700.0
4339,4339,2006-12-06,90.645,91.39,89.67,89.83,22792300.0
4340,4340,2006-12-05,91.655,92.33,90.87,91.27,23672800.0
4341,4341,2006-12-04,91.88,92.05,90.5,91.12,25340600.0
4342,4342,2006-12-01,91.8,92.33,90.1,91.32,28395700.0
4343,4343,2006-11-30,92.215,92.68,91.06,91.66,31088800.0
4344,4344,2006-11-29,93.0,93.15,90.25,91.8,41324400.0
4345,4345,2006-11-28,90.36,91.97,89.91,91.81,37006200.0
4346,4346,2006-11-27,92.51,93.159,89.5,89.54,38387000.0
4347,4347,2006-11-24,89.53,93.08,89.5,91.63,18524200.0
4348,4348,2006-11-22,88.99,90.75,87.85,90.31,23997900.0
4349,4349,2006-11-21,87.42,88.6,87.11,88.6,22238100.0
4350,4350,2006-11-20,85.4,87.0,85.2,86.47,20385500.0
4351,4351,2006-11-17,85.145,85.94,85.0,85.85,16658000.0
4352,4352,2006-11-16,84.87,86.3,84.62,85.61,24783600.0
4353,4353,2006-11-15,85.05,85.9,84.0,84.05,23404400.0
4354,4354,2006-11-14,84.8,85.0,83.9,85.0,21034100.0
4355,4355,2006-11-13,83.22,84.45,82.64,84.35,16095500.0
4356,4356,2006-11-10,83.55,83.6,82.5,83.12,13352300.0
4357,4357,2006-11-09,82.9,84.69,82.12,83.34,32966200.0
4358,4358,2006-11-08,80.02,82.69,79.89,82.45,24675600.0
4359,4359,2006-11-07,80.45,81.0,80.13,80.51,18783300.0
4360,4360,2006-11-06,78.95,80.06,78.43,79.71,15520600.0
4361,4361,2006-11-03,79.36,79.53,77.79,78.29,15424600.0
4362,4362,2006-11-02,78.915,79.32,78.5,78.98,16624400.0
4363,4363,2006-11-01,81.1,81.38,78.36,79.16,21828300.0
4364,4364,2006-10-31,81.45,81.68,80.23,81.08,17909800.0
4365,4365,2006-10-30,79.985,80.9,79.5,80.42,17854200.0
4366,4366,2006-10-27,81.75,82.45,80.01,80.41,21248800.0
4367,4367,2006-10-26,81.9,82.6,81.13,82.19,15455600.0
4368,4368,2006-10-25,81.35,82.0,81.01,81.68,17329100.0
4369,4369,2006-10-24,81.21,81.68,80.2,81.05,16543300.0
4370,4370,2006-10-23,79.99,81.9,79.75,81.46,29732400.0
4371,4371,2006-10-20,78.97,79.99,78.67,79.95,22836200.0
4372,4372,2006-10-19,79.26,79.95,78.16,78.99,54034900.0
4373,4373,2006-10-18,74.75,78.59,73.91,74.53,40496700.0
4374,4374,2006-10-17,75.04,75.27,74.04,74.29,17175900.0
4375,4375,2006-10-16,75.19,75.88,74.789,75.4,18167600.0
4376,4376,2006-10-13,75.63,76.88,74.74,75.02,24435600.0
4377,4377,2006-10-12,73.61,75.39,73.6,75.26,21173400.0
4378,4378,2006-10-11,73.42,73.98,72.6,73.23,20423400.0
4379,4379,2006-10-10,74.54,74.58,73.08,73.81,18985300.0
4380,4380,2006-10-09,73.8,75.08,73.53,74.63,15650800.0
4381,4381,2006-10-06,74.42,75.04,73.81,74.22,16677100.0
4382,4382,2006-10-05,74.53,76.16,74.13,74.83,24424400.0
4383,4383,2006-10-04,74.1,75.462,73.16,75.38,29610100.0
